squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Arg Juniors,26,26.4,60.8,27,297,2430,27.0,30,18,48,25,5,6,64,6,39.3,34.8,26.1,60.9,455,1338,1.11,0.67,1.78,0.93,1.59,1.46,0.97,2.42,1.29,2.26
Arsenal,27,25.5,46.1,27,297,2430,27.0,16,14,30,14,2,3,68,3,23.0,20.7,17.0,37.7,342,878,0.59,0.52,1.11,0.52,1.04,0.85,0.63,1.48,0.77,1.4
Atlé Tucumán,26,26.9,46.9,27,297,2430,27.0,24,17,41,21,3,3,70,4,27.1,24.7,19.5,44.2,322,893,0.89,0.63,1.52,0.78,1.41,1.0,0.72,1.73,0.92,1.64
Banfield,28,27.1,44.7,27,297,2430,27.0,18,10,28,14,4,6,73,6,29.4,24.6,18.4,43.0,329,743,0.67,0.37,1.04,0.52,0.89,1.09,0.68,1.77,0.91,1.59
Barracas Central,30,26.1,49.3,27,297,2430,27.0,25,15,40,21,4,4,44,3,22.5,19.4,14.4,33.7,333,884,0.93,0.56,1.48,0.78,1.33,0.83,0.53,1.37,0.72,1.25
Belgrano,32,28.3,48.4,27,297,2430,27.0,20,15,35,18,2,2,50,6,24.6,23.0,18.0,41.1,393,975,0.74,0.56,1.3,0.67,1.22,0.91,0.67,1.58,0.85,1.52
Boca Juniors,32,27.7,59.2,27,297,2430,27.0,32,25,57,32,0,0,73,9,30.6,30.6,23.4,54.0,479,1100,1.19,0.93,2.11,1.19,2.11,1.13,0.87,2.0,1.13,2.0
Cen. Córdoba–SdE,26,28.8,43.8,27,297,2430,27.0,20,15,35,19,1,2,51,1,25.1,23.6,19.3,42.9,345,855,0.74,0.56,1.3,0.7,1.26,0.93,0.72,1.65,0.87,1.59
Colón,28,27.1,47.0,27,297,2430,27.0,19,16,35,19,0,4,66,3,25.6,22.4,17.0,39.5,358,829,0.7,0.59,1.3,0.7,1.3,0.95,0.63,1.58,0.83,1.46
Defensa y Just,34,26.3,50.1,27,297,2430,27.0,35,23,58,31,4,4,70,6,36.0,32.9,27.1,60.0,478,1066,1.3,0.85,2.15,1.15,2.0,1.33,1.0,2.34,1.22,2.22
Estudiantes–LP,29,28.8,53.2,27,297,2430,27.0,35,26,61,35,0,2,56,0,33.3,31.6,26.0,57.6,397,1171,1.3,0.96,2.26,1.3,2.26,1.23,0.96,2.2,1.17,2.13
Gimnasia–LP,35,24.2,47.4,27,297,2430,27.0,24,13,37,23,1,2,61,3,28.3,26.7,17.5,44.3,338,872,0.89,0.48,1.37,0.85,1.33,1.05,0.65,1.7,0.99,1.64
Godoy Cruz,28,26.0,48.4,27,297,2430,27.0,35,23,58,32,3,3,72,5,31.1,28.9,23.7,52.6,352,925,1.3,0.85,2.15,1.19,2.04,1.15,0.88,2.03,1.07,1.95
