rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
706,Daniel Sappa,ar ARG,GK,Estudiantes–LP,27,1995,2.0,50,40,50,0,0,0,50,1,1,100.0,0,0.0,29,184,152,0,0,0,0,0,14,0,Matches
707,Rodrigo Saracho,ar ARG,GK,Godoy Cruz,29,1994,1.0,32,27,32,0,0,0,32,0,0,,0,,14,119,73,0,0,0,0,0,6,0,Matches
708,Martín Sarrafiore,ar ARG,MF,Independiente,25,1997,7.9,437,6,50,254,140,9,437,18,8,44.4,10,55.6,231,1447,693,11,14,1,18,9,256,26,Matches
709,Fabrizio Sartori,ar ARG,FW,Newell's OB,20,2002,0.1,5,0,1,2,2,0,5,1,0,0.0,1,100.0,2,3,0,0,0,0,1,1,4,2,Matches
710,Gastón Sauro,ar ARG,DF,Huracán,32,1990,8.5,372,54,214,146,13,9,372,0,0,,0,,172,877,566,11,3,0,1,0,197,0,Matches
711,Franco Sbuttoni,ar ARG,DF,Sarmiento,33,1989,13.8,494,92,264,208,25,16,494,3,3,100.0,0,0.0,154,597,308,1,1,0,5,1,162,2,Matches
712,Benjamín Schamine,ar ARG,"MF,FW",Defensa y Just,19,2003,1.6,56,2,16,26,14,3,56,5,0,0.0,4,80.0,27,82,37,1,0,1,3,2,35,3,Matches
713,Thiago Schiavulli,ar ARG,DF,Defensa y Just,19,2003,1.0,59,8,24,34,1,0,59,1,0,0.0,1,100.0,33,93,30,0,0,0,1,1,32,1,Matches
714,Ignacio Schor,ar ARG,"MF,FW",Platense,22,2000,5.6,186,3,23,62,106,20,186,27,11,40.7,14,51.9,128,951,452,18,8,5,19,19,131,41,Matches
715,Augusto Schott,ar ARG,DF,Colón,23,2000,3.8,184,9,54,76,55,8,184,5,3,60.0,2,40.0,75,481,287,14,8,2,7,3,75,12,Matches
716,Mateo Seoane,ar ARG,MF,Vélez Sarsfield,18,2004,4.6,308,10,70,211,30,1,308,2,0,0.0,2,100.0,162,653,327,2,2,0,6,1,179,3,Matches
717,Bruno Sepúlveda,ar ARG,FW,Barracas Central,30,1992,21.9,768,37,59,313,402,73,767,45,15,33.3,27,60.0,437,1846,588,15,12,8,88,42,569,155,Matches
718,Luis Sequeira,ar ARG,"MF,DF",Talleres,20,2003,1.2,85,2,14,43,28,2,85,4,3,75.0,1,25.0,49,253,119,5,0,1,5,1,53,9,Matches
719,Nicolás Servetto,ar ARG,FW,Platense,26,1996,18.1,524,22,34,247,249,59,523,21,8,38.1,12,57.1,273,967,279,9,11,4,48,36,384,91,Matches
720,Gaspar Servio,ar ARG,GK,Rosario Central,30,1992,4.0,117,102,117,0,0,0,117,0,0,,0,,44,277,173,0,0,0,0,0,26,0,Matches
721,Juan Sforza,ar ARG,MF,Newell's OB,20,2002,20.9,1398,47,356,987,67,5,1398,15,7,46.7,7,46.7,779,3829,1799,9,6,0,12,11,894,9,Matches
722,Leonardo Sigali,ar ARG,DF,Racing Club,35,1987,18.3,1385,133,552,787,52,12,1385,2,0,0.0,0,0.0,816,4362,2828,18,8,0,6,1,926,2,Matches
723,Gonzalo Silva,ar ARG,"DF,MF",Colón,23,1999,0.6,44,1,5,23,16,0,44,0,0,,0,,11,64,17,0,0,0,1,0,22,2,Matches
724,Kevin Silva,ar ARG,DF,Rosario Central,19,2003,0.2,3,2,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
725,Tomás Silva,ar ARG,DF,San Lorenzo,19,2003,0.9,42,5,19,16,7,0,42,2,0,0.0,0,0.0,18,111,57,1,1,0,0,1,15,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
726,Santiago Simón,ar ARG,"MF,FW",River Plate,20,2002,3.1,235,0,28,131,78,10,235,9,5,55.6,2,22.2,143,837,416,11,13,2,5,5,171,18,Matches
727,Tomás Sives,ar ARG,"MF,FW",Arsenal,19,2003,1.2,64,0,7,38,20,1,64,5,2,40.0,3,60.0,34,189,71,2,2,0,3,2,42,6,Matches
728,Pablo Solari,ar ARG,"FW,MF",River Plate,21,2001,13.6,665,4,47,241,386,92,665,72,30,41.7,40,55.6,443,2414,1337,47,28,22,33,13,494,181,Matches
729,Santiago Solari,ar ARG,"FW,MF",Defensa y Just,25,1998,15.5,649,14,100,246,322,63,649,75,31,41.3,38,50.7,403,3067,1534,50,29,14,37,20,418,129,Matches
730,Ricardo Solbes,ar ARG,MF,Defensa y Just,16,2006,0.1,5,0,0,5,0,0,5,0,0,,0,,3,3,1,0,0,0,1,0,3,0,Matches
731,Franco Soldano,ar ARG,"FW,MF",Gimnasia–LP,28,1994,15.0,551,32,74,223,255,58,551,17,7,41.2,10,58.8,188,911,295,9,6,4,28,11,316,69,Matches
732,Julio Soler,ar ARG,DF,Lanús,17,2005,2.3,126,8,50,59,17,1,126,4,1,25.0,3,75.0,53,321,206,1,2,1,2,0,55,5,Matches
733,Jesús Soraire,ar ARG,MF,Cen. Córdoba–SdE,34,1988,7.0,378,16,74,229,84,3,378,9,6,66.7,2,22.2,192,828,390,7,10,0,10,8,230,13,Matches
734,Ramiro Sordo,ar ARG,"FW,MF",Newell's OB,22,2000,16.4,729,5,84,310,350,29,728,89,43,48.3,38,42.7,503,4211,1698,51,44,8,57,13,533,172,Matches
735,Alan Sosa,ar ARG,"MF,FW",Gimnasia–LP,19,2003,5.5,283,5,45,129,118,8,283,29,14,48.3,13,44.8,150,991,519,15,13,3,14,5,138,21,Matches
736,José Sosa,ar ARG,"MF,FW",Estudiantes–LP,37,1985,8.9,662,11,70,379,224,20,662,17,5,29.4,11,64.7,379,1950,1025,20,23,1,15,8,453,48,Matches
737,Nicolás Sosa,uy URU,"MF,FW",Banfield,26,1996,11.9,429,23,69,175,193,55,429,25,11,44.0,13,52.0,171,750,340,15,5,4,35,12,238,48,Matches
738,Ramón Sosa,py PAR,FW,Talleres,23,1999,16.7,686,2,60,325,322,57,686,112,64,57.1,38,33.9,422,3353,1861,62,41,27,49,22,489,135,Matches
739,Sebastián Sosa,uy URU,FW,Banfield,28,1994,9.8,315,8,24,161,130,41,315,8,6,75.0,2,25.0,130,513,135,4,3,4,22,15,214,44,Matches
740,David Sotelo,ar ARG,MF,Newell's OB,19,2003,1.1,72,2,6,58,8,0,72,1,1,100.0,0,0.0,40,268,130,1,1,0,2,2,46,1,Matches
741,Alexis Soto,ar ARG,DF,Defensa y Just,29,1993,22.5,1365,93,487,607,290,7,1365,43,23,53.5,18,41.9,619,3142,1677,24,26,1,21,9,688,43,Matches
742,Guillermo Soto,cl CHI,DF,Huracán,29,1994,18.4,1048,47,260,468,338,11,1048,44,22,50.0,15,34.1,430,2990,1476,47,46,4,16,7,468,79,Matches
743,Lucas Souto,ar ARG,DF,Arsenal,24,1998,20.7,1122,73,368,492,283,32,1122,71,35,49.3,32,45.1,419,3015,1508,36,24,4,29,18,461,72,Matches
744,Pedro Souto,ar ARG,DF,Banfield,22,2000,6.7,369,15,132,177,63,6,369,9,4,44.4,5,55.6,149,604,311,5,6,2,8,2,156,10,Matches
745,Agostino Spina,ar ARG,MF,Huracán,21,2001,3.4,165,7,43,105,20,1,165,5,3,60.0,1,20.0,61,290,106,1,1,0,1,1,71,0,Matches
746,Adrián Sporle,ar ARG,DF,Arsenal,27,1995,22.8,1386,79,450,583,372,26,1386,76,41,53.9,31,40.8,573,3781,2019,55,32,3,41,21,603,80,Matches
747,Alexis Steimbach,ar ARG,FW,Gimnasia–LP,20,2002,5.4,240,13,47,106,94,13,240,23,10,43.5,11,47.8,130,544,247,7,9,1,14,6,129,25,Matches
748,Lucas Suárez,ar ARG,DF,Talleres,27,1995,11.0,658,57,352,280,28,14,658,10,4,40.0,5,50.0,319,1817,1071,9,1,2,6,2,363,6,Matches
749,Matías Suárez,ar ARG,"FW,MF",River Plate,34,1988,2.0,86,2,8,29,51,17,86,5,1,20.0,4,80.0,50,156,79,3,2,2,12,0,60,16,Matches
750,Gastón Suso,ar ARG,DF,Platense,31,1991,11.2,583,59,310,252,21,10,583,3,2,66.7,1,33.3,236,1390,714,8,3,0,3,2,262,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
751,Joaquín Susvielles,ar ARG,"FW,DF",Belgrano,31,1991,2.0,97,9,13,36,48,12,97,4,4,100.0,0,0.0,44,240,68,3,3,3,5,4,76,18,Matches
752,Facundo Taborda,ar ARG,"FW,MF",Colón,22,2001,0.2,11,0,1,8,2,0,11,2,1,50.0,1,50.0,5,53,21,1,0,0,1,0,5,1,Matches
753,Vicente Taborda,ar ARG,"MF,FW",Platense,21,2001,19.7,1091,3,111,564,444,28,1090,147,88,59.9,49,33.3,626,3955,1877,63,40,13,85,47,670,119,Matches
754,Matías Tagliamonte,ar ARG,GK,Racing Club,24,1998,3.3,104,85,103,1,0,0,104,0,0,,0,,46,294,141,0,0,0,0,0,34,0,Matches
755,Iván Tapia,ar ARG,MF,Barracas Central,24,1998,26.8,1540,19,236,862,459,22,1537,24,5,20.8,16,66.7,741,2411,1016,7,17,2,31,22,937,69,Matches
756,Cristian Tarragona,ar ARG,FW,Gimnasia–LP,31,1991,15.2,612,14,34,280,301,64,610,48,15,31.3,31,64.6,389,1627,342,9,14,5,82,48,486,103,Matches
757,Renzo Tesuri,ar ARG,"DF,MF",Atlé Tucumán,26,1996,19.6,1044,50,295,509,253,23,1044,39,20,51.3,16,41.0,511,2394,1120,21,22,6,32,23,554,73,Matches
758,Andrew Teuten,uy URU,"DF,MF",Colón,24,1998,5.6,321,16,86,161,81,2,321,8,6,75.0,2,25.0,164,683,334,6,3,1,13,3,163,35,Matches
759,Horacio Tijanovich,ar ARG,MF,Banfield,26,1996,1.5,65,0,3,24,39,5,65,3,3,100.0,0,0.0,39,200,113,1,1,0,3,2,48,20,Matches
760,Fernando Tobio,ar ARG,DF,Huracán,33,1989,18.6,947,80,515,398,38,26,947,5,5,100.0,0,0.0,432,2524,1450,5,1,0,8,0,480,1,Matches
761,Gastón Togni,ar ARG,"FW,MF",Defensa y Just,25,1997,14.6,634,17,65,140,441,63,634,70,32,45.7,34,48.6,379,2339,1041,40,27,12,30,22,453,206,Matches
762,Agustín Toledo,ar ARG,MF,Rosario Central,22,2000,5.4,310,15,71,219,25,2,310,2,1,50.0,1,50.0,148,640,328,2,1,0,4,2,166,0,Matches
763,Javier Toledo,ar ARG,FW,Sarmiento,36,1986,17.7,580,14,19,249,317,102,578,19,12,63.2,7,36.8,263,937,318,8,11,1,52,26,445,96,Matches
764,Nicolás Tolosa,ar ARG,"MF,DF",Barracas Central,21,2001,1.8,101,7,26,41,35,3,101,0,0,,0,,45,223,113,1,4,0,3,1,57,12,Matches
765,Santiago Toloza,ar ARG,"MF,FW",Arsenal,20,2002,18.3,890,9,79,454,376,31,890,87,45,51.7,34,39.1,551,3730,1729,49,48,8,56,34,628,104,Matches
766,Gerónimo Tomasetti,ar ARG,MF,Belgrano,22,2000,0.6,40,4,13,18,9,0,40,1,1,100.0,0,0.0,19,74,37,0,1,0,5,2,26,0,Matches
767,Fernando Torrent,ar ARG,DF,Huracán,31,1991,7.5,392,16,113,175,110,9,392,22,17,77.3,5,22.7,208,1118,705,18,10,0,13,6,209,42,Matches
