rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
521,Efrain Morales,bo BOL,DF,CF Montréal,21-238,2004,5.4,0,3,0,0.0,0.56,0.00,0.00,,9.5,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
522,Marcelo Morales,cl CHI,DF,NY Red Bulls,22-144,2003,2.0,0,3,0,0.0,1.48,0.00,0.00,,28.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
523,Santi Morales,us USA,"MF,DF",Inter Miami,18-261,2007,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
524,Maximiliano Moralez,ar ARG,MF,NYCFC,38-243,1987,30.5,2,30,6,20.0,0.98,0.20,0.07,0.33,20.0,2,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches
525,Andrew Moran,ie IRL,"MF,FW",LAFC,22-013,2003,3.5,1,7,3,42.9,1.98,0.85,0.14,0.33,18.4,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
526,Steven Moreira,cv CPV,DF,Columbus Crew,31-076,1994,27.3,1,18,6,33.3,0.66,0.22,0.06,0.17,20.6,1,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
527,Santiago Moreno,co COL,"FW,MF",Portland Timbers,25-190,2000,18.8,4,45,18,40.0,2.39,0.96,0.09,0.22,21.2,3,0,0,4.0,4.0,0.09,0.0,0.0,Matches
528,Lewis Morgan,sct SCO,"MF,FW",NY Red Bulls,29-028,1996,1.6,0,4,1,25.0,2.43,0.61,0.00,0.00,15.5,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches
529,Jordan Morris,us USA,FW,Seattle Sounders,31-002,1994,8.4,5,17,10,58.8,2.03,1.20,0.29,0.50,11.9,0,0,1,4.8,4.0,0.23,+0.2,+1.0,Matches
530,Edwin Mosquera,co COL,"FW,DF",Atlanta Utd,24-123,2001,1.7,1,8,2,25.0,4.62,1.15,0.13,0.50,18.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
531,Rafael Mosquera,pa PAN,MF,NY Red Bulls,20-157,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
532,Cole Mrowka,us USA,MF,Columbus Crew,19-205,2006,0.3,0,1,1,100.0,3.21,3.21,0.00,0.00,21.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
533,Hany Mukhtar,de GER,"FW,MF",Nashville SC,30-221,1995,33.3,16,118,58,49.2,3.54,1.74,0.11,0.22,19.9,13,3,5,16.8,12.9,0.11,-0.8,+0.1,Matches
534,Thomas Müller,de GER,MF,Vancouver W'caps,36-045,1989,6.0,7,16,10,62.5,2.66,1.66,0.19,0.30,20.2,0,4,4,5.2,2.0,0.13,+1.8,+1.0,Matches
535,Daniel Munie,us USA,DF,SJ Earthquakes,25-260,2000,22.1,2,13,5,38.5,0.59,0.23,0.15,0.40,9.4,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
536,Santiago Muñóz,mx MEX,"MF,FW",Sporting KC,23-075,2002,9.7,3,20,6,30.0,2.07,0.62,0.10,0.33,14.0,0,1,1,3.0,2.3,0.11,0.0,-0.3,Matches
537,Luis Muriel,co COL,FW,Orlando City,34-195,1991,23.4,9,76,28,36.8,3.25,1.20,0.11,0.29,19.4,6,1,1,9.7,8.9,0.12,-0.7,-0.9,Matches
538,Ian Murphy,us USA,DF,Colorado Rapids,25-285,2000,11.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
539,Jacob Murrell,us USA,"FW,MF",D.C. United,21-213,2004,9.8,2,16,6,37.5,1.64,0.62,0.13,0.33,12.5,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Matches
540,Petar Musa,hr CRO,FW,FC Dallas,27-238,1998,25.5,18,74,30,40.5,2.90,1.18,0.22,0.53,15.4,1,2,3,15.4,13.1,0.18,+2.6,+2.9,Matches
541,Daniel Musovski,us USA,FW,Seattle Sounders,29-332,1995,17.4,14,53,25,47.2,3.05,1.44,0.25,0.52,10.3,0,1,1,14.1,13.3,0.25,-0.1,-0.3,Matches
542,Sebastiano Musu,it ITA,FW,NYCFC,25-018,2000,0.2,0,3,0,0.0,19.29,0.00,0.00,,23.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
543,Alex Muyl,us USA,"MF,FW",Nashville SC,30-028,1995,24.8,1,32,16,50.0,1.29,0.65,0.03,0.06,15.0,0,0,0,3.7,3.5,0.11,-2.7,-2.5,Matches
544,Tristan Muyumba,fr FRA,MF,Atlanta Utd,28-235,1997,13.2,1,11,3,27.3,0.83,0.23,0.09,0.33,18.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
545,Darlington Nagbe,us USA,MF,Columbus Crew,35-101,1990,28.8,0,9,2,22.2,0.31,0.07,0.00,0.00,24.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
