rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-063,2003,6.4,3,0,0,7,14,1,13,2,6,1,0,0,19,2,5,28.6,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-025,2001,16.5,1,0,0,12,17,4,29,5,16,0,1,0,67,2,13,13.3,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-297,1999,3.4,0,0,0,6,4,1,0,0,1,1,0,0,11,2,7,22.2,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-243,1996,16.6,1,0,0,10,4,0,3,6,7,0,1,0,59,26,24,52.0,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-307,1994,18.4,5,1,1,19,9,3,2,22,13,0,1,0,56,26,18,59.1,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,31-338,1993,2.5,1,0,0,7,0,0,3,3,8,0,0,0,17,1,1,50.0,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-096,1995,7.3,2,0,0,11,12,1,2,14,4,0,1,0,30,5,4,55.6,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-150,1994,18.8,8,0,0,33,36,3,99,9,15,2,0,0,65,3,8,27.3,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-285,1995,3.2,0,0,0,3,3,0,7,3,2,0,0,0,6,9,5,64.3,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-107,2001,0.9,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0.0,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-107,2001,1.0,1,0,0,4,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-251,2001,1.5,1,0,0,6,6,1,4,1,3,1,0,0,8,2,5,28.6,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-041,1999,1.1,0,0,0,5,1,0,0,0,0,0,0,0,3,3,1,75.0,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-041,1999,13.0,6,1,1,36,15,8,1,2,2,0,1,0,29,27,33,45.0,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,24-355,2000,13.6,3,0,0,25,35,7,1,2,4,1,0,0,22,19,21,47.5,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-018,2000,14.3,2,0,0,10,25,3,44,6,10,1,0,0,45,11,13,45.8,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-073,2001,2.9,2,0,0,7,4,4,0,0,3,0,0,0,0,3,18,14.3,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-221,1989,28.5,6,0,0,14,19,3,118,19,18,0,0,0,153,4,4,50.0,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-183,2004,21.1,4,0,0,20,12,1,16,17,30,0,0,0,85,18,17,51.4,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-250,1999,23.9,1,0,0,16,14,12,21,13,7,0,0,0,63,57,23,71.3,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-072,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-260,1994,30.1,4,0,0,30,56,12,39,11,26,0,0,0,132,5,14,26.3,Matches
