rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Philadelphia Union,34,20,6,8,57,35,22,66,1.94,58.2,39.9,18.3,0.54,19450,Tai Baribo - 16,Andre Blake,
2,FC Cincinnati,34,20,5,9,52,40,12,65,1.91,44.5,51.4,-6.9,-0.2,26043,Evander - 18,Roman Celentano,
3,Inter Miami,34,19,8,7,81,55,26,65,1.91,68.6,49.8,18.9,0.55,20388,Lionel Messi - 29,Óscar Ustari,
4,Charlotte,34,19,2,13,55,46,9,59,1.74,49.5,53.2,-3.7,-0.11,30664,Idan Markovich - 11,Kristijan Kahlina,
5,NYCFC,34,17,5,12,50,44,6,56,1.65,50.2,43.9,6.2,0.18,21853,Alonso Martínez - 17,Matt Freese,
6,Nashville SC,34,16,6,12,58,45,13,54,1.59,60.3,41.8,18.5,0.54,26433,Sam Surridge - 24,Joe Willis,
7,Columbus Crew,34,14,12,8,55,51,4,54,1.59,54.8,48.5,6.3,0.18,22795,Diego Rossi - 16,Patrick Schulte,
8,Chicago Fire,34,15,8,11,68,60,8,53,1.56,55.3,54.5,0.7,0.02,24260,Hugo Cuypers - 17,Chris Brady,
9,Orlando City,34,14,11,9,63,51,12,53,1.56,60.4,48.2,12.2,0.36,20573,Martín Ojeda - 16,Pedro Gallese,
10,NY Red Bulls,34,12,7,15,48,47,1,43,1.26,46.3,51.1,-4.8,-0.14,19710,Eric Maxim Choupo-Moting - 17,Carlos Coronel,
11,NE Revolution,34,9,9,16,44,51,-7,36,1.06,43.3,51.4,-8.0,-0.24,24477,Carles Gil - 10,Aljaž Ivačič,
12,Toronto FC,34,6,14,14,37,44,-7,32,0.94,33.6,50.7,-17.1,-0.5,21353,Theo Corbeanu - 6,Sean Johnson,
13,CF Montréal,34,6,10,18,34,60,-26,28,0.82,42.2,51.5,-9.3,-0.27,16162,Prince Owusu - 13,Jonathan Sirois,
14,Atlanta Utd,34,5,13,16,38,63,-25,28,0.82,44.8,50.1,-5.4,-0.16,43992,Emmanuel Latte Lath - 7,Brad Guzan,
15,D.C. United,34,5,11,18,30,66,-36,26,0.76,36.6,50.8,-14.2,-0.42,16389,Christian Benteke - 9,Luis Barraza,
