squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Atlanta Utd,34,29.0,50.4,34,374,3060,34.0,34,25,59,30,4,4,65,0,44.8,41.6,34.4,76.0,609,1439,1.0,0.74,1.74,0.88,1.62,1.32,1.01,2.33,1.22,2.24
Austin,22,28.7,47.0,34,374,3060,34.0,35,27,62,34,1,2,76,1,41.8,40.2,30.7,70.9,485,1134,1.03,0.79,1.82,1.0,1.79,1.23,0.9,2.13,1.18,2.08
CF Montréal,34,24.4,48.7,34,374,3060,34.0,34,24,58,31,3,4,79,2,42.2,39.0,30.7,69.7,528,1221,1.0,0.71,1.71,0.91,1.62,1.24,0.9,2.14,1.15,2.05
Charlotte,28,28.9,48.2,34,374,3060,34.0,54,38,92,50,4,5,67,3,49.5,45.5,35.4,80.9,521,1265,1.59,1.12,2.71,1.47,2.59,1.45,1.04,2.5,1.34,2.38
Chicago Fire,28,26.9,49.1,34,374,3060,34.0,67,52,119,62,5,6,69,3,55.3,50.5,40.7,91.2,551,1237,1.97,1.53,3.5,1.82,3.35,1.63,1.2,2.82,1.49,2.68
Colorado Rapids,34,26.3,45.7,34,374,3060,34.0,43,28,71,36,7,11,61,2,52.1,43.4,34.5,77.9,471,1227,1.26,0.82,2.09,1.06,1.88,1.53,1.02,2.55,1.28,2.29
Columbus Crew,27,27.5,58.5,34,374,3060,34.0,52,35,87,47,5,5,47,1,54.8,50.8,38.6,89.4,641,1892,1.53,1.03,2.56,1.38,2.41,1.61,1.13,2.74,1.49,2.63
D.C. United,29,27.0,45.1,34,374,3060,34.0,30,20,50,28,2,3,91,4,36.6,34.5,26.6,61.2,402,1076,0.88,0.59,1.47,0.82,1.41,1.08,0.78,1.86,1.02,1.8
FC Cincinnati,31,27.9,49.1,34,374,3060,34.0,52,38,90,49,3,3,65,2,44.5,42.2,32.9,75.1,577,1215,1.53,1.12,2.65,1.44,2.56,1.31,0.97,2.28,1.24,2.21
FC Dallas,31,27.4,41.2,34,374,3060,34.0,51,33,84,48,3,5,79,5,47.4,43.6,33.5,77.1,463,1102,1.5,0.97,2.47,1.41,2.38,1.39,0.98,2.38,1.28,2.27
Houston Dynamo,32,27.5,50.5,34,374,3060,34.0,41,31,72,37,4,4,88,5,43.7,40.7,32.0,72.6,454,1260,1.21,0.91,2.12,1.09,2.0,1.29,0.94,2.23,1.2,2.14
Inter Miami,30,29.6,56.7,34,374,3060,34.0,81,65,146,79,2,4,80,4,68.6,65.5,54.0,119.4,522,1642,2.38,1.91,4.29,2.32,4.24,2.02,1.59,3.61,1.93,3.51
LA Galaxy,27,27.9,54.2,34,374,3060,34.0,46,32,78,43,3,3,73,3,46.8,44.6,36.2,80.8,595,1488,1.35,0.94,2.29,1.26,2.21,1.38,1.06,2.44,1.31,2.38
LAFC,34,29.2,52.1,34,374,3060,34.0,65,38,103,58,7,9,56,2,60.1,53.0,39.9,92.9,646,1502,1.91,1.12,3.03,1.71,2.82,1.77,1.17,2.94,1.56,2.73
Minnesota Utd,31,27.7,39.7,34,374,3060,34.0,52,40,92,48,4,4,63,0,46.9,43.7,36.6,80.3,383,928,1.53,1.18,2.71,1.41,2.59,1.38,1.08,2.45,1.29,2.36
Nashville SC,25,29.4,50.9,34,374,3060,34.0,57,41,98,49,8,11,59,1,60.3,51.5,41.3,92.8,540,1277,1.68,1.21,2.88,1.44,2.65,1.77,1.21,2.99,1.51,2.73
