rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
42,Timo Becker,de GER,"DF,MF",Schalke 04,22,1997,3.7,10,9,3,6,1,5,9,4,6,1,5,3,13,8,0,Matches
43,Maximilian Beier,de GER,FW,Hoffenheim,16,2002,1.2,5,2,0,1,4,1,2,1,2,0,2,0,5,0,0,Matches
44,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,27,1992,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,Matches
45,Karim Bellarabi,de GER,"FW,DF",Leverkusen,29,1990,15.8,19,11,9,7,3,9,28,19,16,0,16,10,29,4,0,Matches
46,Lars Bender,de GER,"DF,MF",Leverkusen,30,1989,15.3,42,26,17,20,5,19,38,19,32,6,26,24,66,30,0,Matches
47,Sven Bender,de GER,DF,Leverkusen,30,1989,30.3,53,34,29,17,7,23,48,25,42,13,29,67,120,88,2,Matches
48,László Bénes,sk SVK,MF,Gladbach,21,1997,10.0,15,8,3,5,7,6,19,13,6,2,4,8,23,3,1,Matches
49,Keanan Bennetts,eng ENG,MF,Gladbach,20,1999,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Matches
50,Ramy Bensebaini,dz ALG,DF,Gladbach,24,1995,16.1,33,17,17,12,4,18,31,13,24,4,20,38,71,49,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Valon Berisha,xk KVX,MF,Düsseldorf,26,1993,10.5,14,9,3,8,3,6,21,15,4,1,3,9,23,8,0,Matches
52,Jordan Beyer,de GER,DF,Gladbach,19,2000,1.2,3,1,3,0,0,0,1,1,4,2,2,1,4,4,0,Matches
53,Ermin Bičakčić,ba BIH,DF,Hoffenheim,29,1990,13.1,7,3,5,2,0,4,11,7,14,8,6,25,32,64,2,Matches
54,Leonardo Bittencourt,de GER,MF,Hoffenheim,25,1993,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Matches
55,Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,25,1993,21.0,52,28,23,18,11,9,51,42,20,3,17,12,64,14,0,Matches
56,Jérôme Boateng,de GER,DF,Bayern Munich,30,1988,20.0,21,14,9,12,0,11,22,11,15,11,4,33,54,58,1,Matches
57,Adam Bodzek,de GER,MF,Düsseldorf,33,1985,22.4,42,26,21,20,1,14,46,32,34,11,23,25,67,39,0,Matches
58,Jean-Paul Boëtius,sr SUR,MF,Mainz 05,25,1994,25.2,63,33,21,31,11,20,57,37,38,1,37,26,89,6,0,Matches
59,Melayro Bogarde,nl NED,DF,Hoffenheim,17,2002,0.6,2,1,2,0,0,2,2,0,0,0,0,0,2,3,0,Matches
60,Dennis Borkowski,de GER,FW,RB Leipzig,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Robin Bormuth,de GER,DF,Düsseldorf,23,1995,2.0,2,1,2,0,0,2,3,1,6,5,1,0,2,12,0,Matches
62,Sebastiaan Bornauw,be BEL,DF,Köln,20,1999,27.2,37,24,24,12,1,20,39,19,32,12,20,42,79,99,0,Matches
63,Brandon Borrello,au AUS,"MF,FW",Freiburg,24,1995,3.3,10,4,6,4,0,4,10,6,7,1,6,1,11,1,0,Matches
64,Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,20,1999,4.7,12,10,5,4,3,5,14,9,8,1,7,7,19,5,0,Matches
65,Dedryck Boyata,be BEL,DF,Hertha BSC,28,1990,27.1,24,18,17,5,2,4,12,8,39,32,7,62,86,158,1,Matches
66,Can Bozdogan,de GER,MF,Schalke 04,18,2001,2.6,8,6,5,3,0,3,12,9,2,0,2,2,10,2,0,Matches
67,Julian Brandt,de GER,"MF,FW",Dortmund,23,1996,24.5,48,33,15,21,12,25,55,30,35,2,33,16,64,10,1,Matches
68,Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,21,1998,18.6,18,8,5,6,7,5,23,18,26,0,26,16,34,4,0,Matches
69,John Brooks,us USA,DF,Wolfsburg,26,1993,24.7,38,27,27,9,2,24,49,25,31,12,19,41,79,93,0,Matches
70,Daniel Brosinski,de GER,DF,Mainz 05,31,1988,19.0,40,27,13,23,4,15,34,19,16,2,14,14,54,58,0,Matches
71,Jeffrey Bruma,nl NED,DF,Wolfsburg,27,1991,9.0,9,5,4,5,0,7,13,6,6,3,3,13,22,51,1,Matches
72,Jeffrey Bruma,nl NED,DF,Mainz 05,27,1991,7.5,12,8,8,4,0,4,6,2,11,5,6,6,18,34,1,Matches
73,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,20,1998,4.3,3,2,3,0,0,3,8,5,3,0,3,3,6,1,0,Matches
74,Jacob Bruun Larsen,dk DEN,FW,Dortmund,20,1998,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Marius Bülter,de GER,"MF,FW",Union Berlin,26,1993,25.8,38,22,19,13,6,17,54,37,37,3,34,11,49,20,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Guido Burgstaller,at AUT,FW,Schalke 04,30,1989,13.7,7,3,0,5,2,4,15,11,12,3,9,4,11,10,0,Matches
77,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,19,2000,2.8,9,4,2,5,2,3,8,5,6,1,5,0,9,1,0,Matches
78,Roman Bürki,ch SUI,GK,Dortmund,28,1990,30.8,2,2,2,0,0,2,3,1,1,0,1,2,4,13,1,Matches
79,Daniel Caligiuri,it ITA,"MF,FW",Schalke 04,31,1988,25.5,58,37,18,25,15,27,74,47,67,6,61,25,83,39,0,Matches
80,Emre Can,de GER,"MF,DF",Dortmund,25,1994,10.6,19,12,11,7,1,5,12,7,14,6,8,19,38,15,0,Matches
81,Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,Matches
82,Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,29,1990,13.6,22,10,9,8,5,9,16,7,9,4,5,13,35,21,0,Matches
83,Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,25,1994,7.5,7,4,2,3,2,1,10,9,5,1,4,7,14,14,0,Matches
84,Darko Churlinov,mk MKD,MF,Köln,19,2000,0.2,1,1,1,0,0,1,2,1,0,0,0,1,2,0,0,Matches
85,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,32,1987,18.1,50,30,18,29,3,17,41,24,14,3,11,23,73,17,0,Matches
86,Christian Clemens,de GER,FW,Köln,27,1991,0.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
87,Jamilu Collins,ng NGA,DF,Paderborn 07,24,1994,29.6,69,43,44,21,4,37,62,25,53,19,34,70,139,91,1,Matches
88,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,23,1996,16.7,19,11,6,7,6,12,27,15,9,0,9,4,23,3,0,Matches
