round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Championship,1,Fri,2022-07-29,20:00 (21:00),Huddersfield,0.1,0–1,1.1,Burnley,20206,The John Smith's Stadium,James Linington,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Millwall,0.8,2–0,0.2,Stoke City,15341,The Den,Keith Stroud,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Wigan Athletic,1.7,0–0,1.1,Preston,15429,The DW Stadium,Robert Madley,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Rotherham Utd,0.6,1–1,0.6,Swansea City,10454,AESSEAL New York Stadium,Matt Donohue,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Luton Town,1.4,0–0,0.7,Birmingham City,9921,Kenilworth Road Stadium,Graham Scott,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Hull City,1.5,2–1,1.0,Bristol City,16667,MKM Stadium,Dean Whitestone,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Cardiff City,0.1,1–0,0.3,Norwich City,19969,Cardiff City Stadium,Tim Robinson,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Blackpool,0.7,1–0,1.3,Reading,10831,Bloomfield Road,David Webb,Match Report,
Championship,1,Sat,2022-07-30,15:00 (16:00),Blackburn,0.3,1–0,0.1,QPR,14315,Ewood Park,Thomas Bramall,Match Report,
Championship,1,Sat,2022-07-30,17:30 (18:30),Middlesbrough,1.5,1–1,1.1,West Brom,26567,Riverside Stadium,Tony Harrington,Match Report,
Championship,1,Sun,2022-07-31,12:00 (13:00),Sunderland,0.7,1–1,0.7,Coventry City,40851,Stadium of Light,Darren Bond,Match Report,
Championship,1,Mon,2022-08-01,20:00 (21:00),Watford,1.1,1–0,0.2,Sheffield Utd,19536,Vicarage Road Stadium,Joshua Smith,Match Report,
Championship,2,Fri,2022-08-05,19:45 (20:45),Birmingham City,1.2,2–1,0.9,Huddersfield,17065,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
Championship,2,Sat,2022-08-06,12:30 (13:30),Norwich City,1.2,1–1,0.6,Wigan Athletic,25595,Carrow Road,Matt Donohue,Match Report,
Championship,2,Sat,2022-08-06,15:00 (16:00),Bristol City,1.9,2–3,1.2,Sunderland,24543,Ashton Gate Stadium,Keith Stroud,Match Report,
Championship,2,Sat,2022-08-06,15:00 (16:00),Preston,1.7,0–0,0.2,Hull City,15816,Deepdale Stadium,Jeremy Simpson,Match Report,
Championship,2,Sat,2022-08-06,15:00 (16:00),Sheffield Utd,2.4,2–0,1.1,Millwall,27738,Bramall Lane,David Coote,Match Report,
Championship,2,Sat,2022-08-06,15:00 (16:00),QPR,1.4,3–2,1.3,Middlesbrough,15796,Kiyan Prince Foundation Stadium,Joshua Smith,Match Report,
