rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Burnley,46,29,14,3,87,35,52,101,2.2,66.2,38.2,28.0,0.61,19776,Nathan Tella - 17,Arijanet Muric,Promoted
2,Sheffield Utd,46,28,7,11,73,39,34,91,1.98,71.8,44.3,27.4,0.6,28729,Iliman Ndiaye - 14,Wes Foderingham,Promoted
3,Luton Town,46,21,17,8,57,39,18,80,1.74,58.2,43.8,14.4,0.31,10290,Carlton Morris - 20,Ethan Horvath,"Promoted, → Promotion play-offs — Semi-finals"
4,Middlesbrough,46,22,9,15,84,56,28,75,1.63,72.6,48.3,24.3,0.53,27410,Chuba Akpom - 28,Zack Steffen,→ Promotion play-offs — Semi-finals
5,Coventry City,46,18,16,12,58,46,12,70,1.52,62.9,54.7,8.2,0.18,24932,Viktor Gyökeres - 21,Ben Wilson,→ Promotion play-offs — Semi-finals
6,Sunderland,46,18,15,13,68,55,13,69,1.5,58.3,52.3,6.0,0.13,40483,Amad Diallo - 13,Anthony Patterson,→ Promotion play-offs — Semi-finals
7,Blackburn,46,20,9,17,52,54,-2,69,1.5,46.7,53.3,-6.7,-0.14,14772,Ben Brereton - 14,Thomas Kaminski,
8,Millwall,46,19,11,16,57,50,7,68,1.48,56.8,48.3,8.4,0.18,14767,Tom Bradshaw - 17,George Long,
9,West Brom,46,18,12,16,59,53,6,66,1.43,65.6,48.4,17.2,0.37,23094,"Daryl Dike, Brandon Thomas-Asante - 7",Alex Palmer,
10,Swansea City,46,18,12,16,68,64,4,66,1.43,61.3,51.6,9.7,0.21,16821,Joël Piroe - 19,Andy Fisher,
11,Watford,46,16,15,15,56,53,3,63,1.37,56.6,50.6,6.0,0.13,19172,João Pedro - 11,Daniel Bachmann,
12,Preston,46,17,12,17,45,59,-14,63,1.37,47.6,56.2,-8.6,-0.19,16119,Ched Evans - 9,Freddie Woodman,
13,Norwich City,46,17,11,18,57,54,3,62,1.35,58.1,54.4,3.7,0.08,26510,Josh Sargent - 13,Angus Gunn,
14,Bristol City,46,15,14,17,55,56,-1,59,1.28,57.4,56.1,1.4,0.03,20374,Nahki Wells - 11,Max O'Leary,
15,Hull City,46,14,16,16,51,61,-10,58,1.26,46.8,61.2,-14.4,-0.31,17973,Oscar Estupiñan - 13,Matt Ingram,
16,Stoke City,46,14,11,21,55,54,1,53,1.15,57.6,49.9,7.7,0.17,20570,Tyrese Campbell - 9,Jack Bonham,
17,Birmingham City,46,14,11,21,47,58,-11,53,1.15,50.6,60.6,-9.9,-0.22,15513,Scott Hogan - 10,John Ruddy,
18,Huddersfield,46,14,11,21,47,62,-15,53,1.15,42.7,61.4,-18.7,-0.41,18978,"Jordan Rhodes, Danny Ward... - 5",Lee Nicholls,
19,Rotherham Utd,46,11,17,18,49,60,-11,50,1.09,42.1,70.7,-28.7,-0.62,10515,Chiedozie Ogbene - 8,Viktor Johansson,
20,QPR,46,13,11,22,44,71,-27,50,1.09,50.3,62.4,-12.0,-0.26,14977,Lyndon Dykes - 8,Seny Dieng,
21,Cardiff City,46,13,10,23,41,58,-17,49,1.07,47.4,56.3,-9.0,-0.2,19020,Sory Kaba - 8,Ryan Allsop,
22,Reading,46,13,11,22,46,68,-22,50,1.09,41.8,59.9,-18.1,-0.39,14027,"Andy Carroll, Tom Ince - 9",Joe Lumley,Relegated
23,Blackpool,46,11,11,24,48,72,-24,44,0.96,47.8,71.7,-23.9,-0.52,12674,Jerry Yates - 14,Chris Maxwell,Relegated
24,Wigan Athletic,46,10,15,21,38,65,-27,45,0.98,45.1,57.5,-12.4,-0.27,12210,Will Keane - 12,Ben Amos,Relegated
