rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Monterrey,34,23,6,5,64,27,37,75,2.21,58.0,32.7,25.3,0.74,42028,Rogelio Funes Mori - 16,Esteban Andrada,
2,América,34,21,9,4,74,38,36,72,2.12,55.8,32.9,22.9,0.67,39415,Henry Martín - 24,Guillermo Ochoa,
3,Pachuca,34,19,6,9,60,39,21,63,1.85,51.8,36.1,15.7,0.46,12079,Nicolás Ibáñez - 13,Óscar Ustari,
4,Toluca,34,16,11,7,61,42,19,59,1.74,53.2,47.5,5.7,0.17,23812,Carlos González Espínola - 9,Tiago Volpi,
5,Guadalajara,34,15,11,8,47,35,12,56,1.65,45.3,38.7,6.6,0.2,30915,Víctor Guzmán - 7,Miguel Jiménez Ponce,
6,UANL,34,16,7,11,44,31,13,55,1.62,47.3,32.8,14.4,0.42,39270,André-Pierre Gignac - 15,Nahuel Guzmán,
7,León,34,14,10,10,48,42,6,52,1.53,44.7,42.2,2.5,0.07,21201,Lucas Di Yorio - 11,Rodolfo Cota,
8,Santos,34,15,7,12,61,58,3,52,1.53,52.5,48.7,3.8,0.11,15861,Harold Preciado - 13,Carlos Acevedo,
9,Cruz Azul,34,14,6,14,47,56,-9,48,1.41,40.8,43.1,-2.4,-0.07,23428,Uriel Antuna - 8,José Corona,
10,Puebla,34,10,12,12,51,55,-4,42,1.24,41.0,49.2,-8.3,-0.24,21164,Martín Barragán - 11,Antony Silva,
11,Atlético,34,9,10,15,31,44,-13,37,1.09,34.2,51.6,-17.4,-0.51,15127,Abel Hernández - 8,Marcelo Barovero,
12,Atlas,34,7,13,14,43,49,-6,34,1.0,42.3,43.5,-1.2,-0.04,16617,Julián Quiñones - 17,Camilo Vargas,
13,FC Juárez,34,7,13,14,34,43,-9,34,1.0,34.7,44.7,-9.9,-0.29,13013,Gabriel Fernández - 8,Alfredo Talavera,
14,Necaxa,34,8,9,17,35,50,-15,33,0.97,32.2,48.8,-16.6,-0.49,13375,Facundo Batista - 9,Luis Ángel Malagón,
15,Tijuana,34,7,12,15,37,59,-22,33,0.97,39.9,40.6,-0.7,-0.02,23370,"Lucas Rodríguez, Alexis Canelo - 6","Jonathan Orozco, José Antonio Rodríguez",
16,UNAM,34,7,11,16,45,63,-18,32,0.94,47.7,48.7,-1.0,-0.03,19698,Juan Ignacio Dinenno - 14,Julio José González,
17,Querétaro,34,5,14,15,34,56,-22,29,0.85,36.5,47.9,-11.4,-0.34,5500,Ángel Sepúlveda - 6,Gil Alcalá,
18,Mazatlán,34,5,9,20,36,65,-29,24,0.71,32.3,60.4,-28.1,-0.83,11519,Nicolás Benedetti - 7,Nicolás Vikonis,
