squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,31,27.8,56.6,34,374,3060,34.0,73,53,126,68,5,6,63,0,55.8,51.1,42.1,93.2,653,1697,2.15,1.56,3.71,2.0,3.56,1.64,1.24,2.88,1.5,2.74
Atlas,30,27.9,51.2,34,374,3060,34.0,42,26,68,38,4,5,74,6,42.3,38.2,29.9,68.1,441,1189,1.24,0.76,2.0,1.12,1.88,1.24,0.88,2.12,1.12,2.0
Atlético,33,27.8,44.7,34,374,3060,34.0,27,20,47,23,4,5,80,4,34.2,30.2,24.2,54.5,477,1069,0.79,0.59,1.38,0.68,1.26,1.01,0.71,1.72,0.89,1.6
Cruz Azul,31,27.9,47.3,34,374,3060,34.0,46,32,78,39,7,8,79,8,40.8,34.5,27.8,62.3,478,1203,1.35,0.94,2.29,1.15,2.09,1.2,0.82,2.02,1.01,1.83
FC Juárez,36,29.7,50.5,34,374,3060,34.0,34,21,55,32,2,5,86,8,34.7,30.8,22.1,52.9,528,1237,1.0,0.62,1.62,0.94,1.56,1.02,0.65,1.67,0.91,1.56
Guadalajara,31,26.0,49.1,34,374,3060,34.0,44,31,75,39,5,8,78,7,45.3,39.0,29.8,68.8,619,1288,1.29,0.91,2.21,1.15,2.06,1.33,0.88,2.21,1.15,2.02
León,30,27.3,51.5,34,374,3060,34.0,46,33,79,44,2,2,77,12,44.7,43.2,33.9,77.1,646,1254,1.35,0.97,2.32,1.29,2.26,1.32,1.0,2.31,1.27,2.27
Mazatlán,31,27.5,47.4,34,374,3060,34.0,33,21,54,32,1,3,85,4,32.3,30.0,21.9,51.9,483,1133,0.97,0.62,1.59,0.94,1.56,0.95,0.64,1.59,0.88,1.53
Monterrey,32,28.4,48.4,34,374,3060,34.0,63,48,111,58,5,9,80,2,58.0,51.0,42.2,93.2,493,1213,1.85,1.41,3.26,1.71,3.12,1.71,1.24,2.95,1.5,2.74
Necaxa,32,26.7,46.2,34,374,3060,34.0,33,22,55,30,3,4,91,2,32.2,29.1,21.5,50.7,429,1074,0.97,0.65,1.62,0.88,1.53,0.95,0.63,1.58,0.86,1.49
Pachuca,29,27.0,55.1,34,374,3060,34.0,58,39,97,53,5,6,72,4,51.8,47.1,35.4,82.5,765,1426,1.71,1.15,2.85,1.56,2.71,1.52,1.04,2.57,1.38,2.43
Puebla,36,28.6,49.2,34,374,3060,34.0,50,41,91,46,4,4,97,2,41.0,38.0,30.1,68.1,536,1107,1.47,1.21,2.68,1.35,2.56,1.2,0.89,2.09,1.12,2.0
Querétaro,37,28.5,46.1,34,374,3060,34.0,33,24,57,29,4,6,83,3,36.5,31.8,26.2,58.0,430,1061,0.97,0.71,1.68,0.85,1.56,1.07,0.77,1.84,0.94,1.71
Santos,32,25.8,46.4,34,374,3060,34.0,61,37,98,51,10,10,68,6,52.5,44.7,30.5,75.2,567,1232,1.79,1.09,2.88,1.5,2.59,1.55,0.9,2.44,1.32,2.21
Tijuana,33,28.1,48.0,34,374,3060,34.0,32,17,49,27,5,7,86,7,39.9,34.6,26.6,61.3,563,1326,0.94,0.5,1.44,0.79,1.29,1.17,0.78,1.96,1.02,1.8
Toluca,32,28.4,58.6,34,374,3060,34.0,60,42,102,49,11,11,74,8,53.2,45.0,35.3,80.3,564,1371,1.76,1.24,3.0,1.44,2.68,1.57,1.04,2.6,1.32,2.36
UANL,36,29.7,55.1,34,374,3060,34.0,43,32,75,39,4,5,90,10,47.3,43.6,34.9,78.5,649,1545,1.26,0.94,2.21,1.15,2.09,1.39,1.03,2.42,1.28,2.31
UNAM,34,27.7,48.5,34,374,3060,34.0,44,34,78,40,4,5,85,8,47.7,44.0,32.5,76.5,570,1162,1.29,1.0,2.29,1.18,2.18,1.4,0.96,2.36,1.29,2.25
