squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Avispa Fukuoka,28,28.3,41.1,34,374,3060,34.0,28,23,51,27,1,3,49,2,0.82,0.68,1.5,0.79,1.47
Cerezo Osaka,29,28.0,47.7,34,374,3060,34.0,44,33,77,41,3,3,27,3,1.29,0.97,2.26,1.21,2.18
Consa Sapporo,28,27.7,55.2,34,374,3060,34.0,45,34,79,44,1,3,48,4,1.32,1.0,2.32,1.29,2.29
FC Tokyo,30,28.4,55.4,34,374,3060,34.0,45,23,68,42,3,3,41,2,1.32,0.68,2.0,1.24,1.91
Gamba Osaka,34,27.5,45.1,34,374,3060,34.0,32,22,54,32,0,0,45,3,0.94,0.65,1.59,0.94,1.59
Grampus,29,28.6,44.9,34,374,3060,34.0,27,15,42,25,2,2,31,2,0.79,0.44,1.24,0.74,1.18
Júbilo Iwata,29,29.3,46.4,34,374,3060,34.0,31,26,57,30,1,1,45,4,0.91,0.76,1.68,0.88,1.65
Kashima Antlers,29,26.8,50.5,34,374,3060,34.0,46,40,86,44,2,2,46,2,1.35,1.18,2.53,1.29,2.47
Kashiwa Reysol,32,25.5,45.2,34,374,3060,34.0,41,30,71,38,3,3,54,1,1.21,0.88,2.09,1.12,2.0
Kawa Frontale,24,29.2,56.9,34,374,3060,34.0,63,43,106,57,6,6,39,3,1.85,1.26,3.12,1.68,2.94
Kyoto Sanga,33,26.7,46.6,34,374,3060,34.0,29,17,46,28,1,2,52,3,0.85,0.5,1.35,0.82,1.32
Marinos,26,26.7,62.3,34,374,3060,34.0,69,51,120,66,3,4,33,3,2.03,1.5,3.53,1.94,3.44
S-Pulse,31,27.0,45.2,34,374,3060,34.0,43,33,76,42,1,1,24,0,1.26,0.97,2.24,1.24,2.21
Sagan Tosu,32,26.9,55.1,34,374,3060,34.0,45,35,80,44,1,2,39,0,1.32,1.03,2.35,1.29,2.32
Sanfrecce,32,27.7,52.0,34,374,3060,34.0,51,38,89,49,2,3,31,2,1.5,1.12,2.62,1.44,2.56
Shonan Bellmare,32,26.9,45.0,34,374,3060,34.0,30,25,55,29,1,1,35,4,0.88,0.74,1.62,0.85,1.59
Urawa Reds,26,27.8,51.8,34,374,3060,34.0,47,31,78,39,8,10,25,3,1.38,0.91,2.29,1.15,2.06
Vissel Kobe,30,28.4,54.4,34,374,3060,34.0,34,21,55,32,2,3,28,3,1.0,0.62,1.62,0.94,1.56
